ReactionID	Genes
RXN-17889	GDQC-8701
RXN-17888	GDQC-8701
GLUTRNAREDUCT-RXN	GDQC-13424 // GDQC-13008 // GDQC-7788
RXN-11371	GDQC-12869 // GDQC-8547
RXN-10038	
3.5.1.60-RXN	GDQC-14163 // GDQC-11662 // GDQC-7895
3.2.1.50-RXN	GDQC-12510 // GDQC-8930
2.4.99.8-RXN	GDQC-9937
3.2.1.52-RXN	GDQC-14116 // GDQC-11565 // GDQC-10717 // GDQC-9901 // GDQC-8430
N-ACYLNEURAMINATE-9-PHOSPHATASE-RXN	GDQC-13327 // GDQC-12146 // GDQC-11889 // GDQC-10909
AMINOACYLASE-RXN	GDQC-14289 // GDQC-14247 // GDQC-10139 // GDQC-9819
RXN-17882	
RXN-17883	
RXN-17881	
RXN-14516	GDQC-13770
AICARTRANSFORM-RXN	GDQC-14615 // GDQC-8108
FORMYLTHFDEFORMYL-RXN	GDQC-8698
GART-RXN	GDQC-9342
RXN-13909	
RXN-14531	GDQC-14719 // GDQC-10363
RXN0-7114	GDQC-13026
RXN-9603	GDQC-10513
RXN0-7013	GDQC-10155
RXN-10039	GDQC-10351
RXN-9527	
RXN0-947	GDQC-14117 // GDQC-12533
RXN66-477	
RXN66-476	
3.1.2.14-RXN	GDQC-14909 // GDQC-13875 // GDQC-13824 // GDQC-13645 // GDQC-13038 // GDQC-11475 // GDQC-11316 // GDQC-11011 // GDQC-10002 // GDQC-8942 // GDQC-7927
3.2.1.145-RXN	GDQC-12785 // GDQC-12157 // GDQC-7749
RXN-12185	GDQC-9621 // GDQC-8705
RXN-11819	GDQC-14682 // GDQC-14238 // GDQC-13836 // GDQC-13399 // GDQC-12836 // GDQC-11250 // GDQC-8465 // GDQC-8306 // GDQC-7970 // GDQC-7869
RXN-15815	
NADH-DEHYDROGENASE-RXN	GDQC-14513 // GDQC-14301 // GDQC-14263 // GDQC-13999 // GDQC-13497 // GDQC-13403 // GDQC-13003 // GDQC-12714 // GDQC-12457 // GDQC-11997 // GDQC-11971 // GDQC-11550 // GDQC-11406 // GDQC-10308 // GDQC-9512 // GDQC-9414 // GDQC-9316 // GDQC-8628 // GDQC-8488 // GDQC-8190 // GDQC-8084 // GDQC-8044 // GDQC-7926
NADPH-DEHYDROGENASE-RXN	GDQC-11276 // GDQC-8192 // GDQC-7635
RXN-15468	
FLAVONADPREDUCT-RXN	GDQC-11276 // GDQC-8192 // GDQC-7635
RXN-12647	
THIOREDOXIN-REDUCT-NADPH-RXN	GDQC-14345 // GDQC-13855 // GDQC-13784 // GDQC-13302 // GDQC-13066 // GDQC-12849 // GDQC-12591 // GDQC-12472 // GDQC-11811 // GDQC-11465 // GDQC-11378 // GDQC-11207 // GDQC-10898 // GDQC-10750 // GDQC-10687 // GDQC-10127 // GDQC-10116 // GDQC-10091 // GDQC-9779 // GDQC-9545 // GDQC-9454 // GDQC-8898 // GDQC-8793 // GDQC-8549 // GDQC-8395 // GDQC-8118
RXN-14386	
RXN-14384	
RXN-14381	
RXN-9788	GDQC-13266 // GDQC-9327
RXN-7719	GDQC-13613 // GDQC-13082
DEOXYHYPUSINE-MONOOXYGENASE-RXN	GDQC-14045 // GDQC-11930 // GDQC-9466
RXN-13417	GDQC-14306 // GDQC-10208
RXN-12587	GDQC-14826 // GDQC-14539 // GDQC-12063 // GDQC-8678 // GDQC-8348
RXN0-308	GDQC-14826 // GDQC-14539 // GDQC-12063 // GDQC-8678 // GDQC-8348
RXN6666-2	GDQC-14163 // GDQC-11662 // GDQC-7895
RXN-11112	GDQC-14866 // GDQC-14453 // GDQC-12375 // GDQC-11848 // GDQC-11389 // GDQC-8658 // GDQC-8444 // GDQC-8268 // GDQC-7897 // GDQC-7843
RXN-7979	GDQC-11910
RXN-7985	GDQC-12825 // GDQC-12099
PRTRANS-RXN	GDQC-11290
1.14.12.1-RXN	GDQC-8299
RXN-14453	GDQC-13926 // GDQC-13309 // GDQC-12655 // GDQC-11777 // GDQC-11693 // GDQC-10054 // GDQC-10046
ANTHRANILATE-N-METHYLTRANSFERASE-RXN	GDQC-12954 // GDQC-12817
RXN-11853	GDQC-10659
RXN-14835	GDQC-9436 // GDQC-9276
RXN-14426	
RXN-7651	
RXN-14751	
RXN-14427	GDQC-14647 // GDQC-14417 // GDQC-14273 // GDQC-13884 // GDQC-11965 // GDQC-11875 // GDQC-11069 // GDQC-9217 // GDQC-8413 // GDQC-8355
1.20.99.1-RXN	GDQC-9293 // GDQC-8889
RXN-982	GDQC-9293 // GDQC-8889
2.1.1.137-RXN	GDQC-8371
3.6.3.16-RXN	GDQC-13751 // GDQC-11294 // GDQC-11284 // GDQC-11190 // GDQC-10166 // GDQC-10066 // GDQC-9601
POLYPHOSPHATE-KINASE-RXN	GDQC-11815
RXN-8654	GDQC-10518
4.2.1.93-RXN	GDQC-10525
RXN-13139	GDQC-10525
APYRASE-RXN	GDQC-8504 // GDQC-8794 // GDQC-11155 // GDQC-12770 // GDQC-13259
AIRS-RXN	GDQC-13601 // GDQC-11953 // GDQC-8884
RXN-7614	GDQC-12506
METHYLCROTONYL-COA-CARBOXYLASE-RXN	GDQC-14716 // GDQC-11762 // GDQC-10780
OHMETPYRKIN-RXN	
THIAZOLSYN3-RXN	GDQC-105673
SAICARSYN-RXN	GDQC-12652 // GDQC-9418
ATPPHOSPHORIBOSYLTRANS-RXN	GDQC-14765
DIACYLGLYKIN-RXN	GDQC-14092 // GDQC-13973 // GDQC-13388 // GDQC-12693 // GDQC-12552 // GDQC-11733 // GDQC-11236 // GDQC-11164 // GDQC-11154 // GDQC-10485 // GDQC-9896 // GDQC-9530 // GDQC-9247
ABC-11-RXN	GDQC-13788 // GDQC-13461 // GDQC-11077 // GDQC-9836 // GDQC-9356 // GDQC-8529 // GDQC-8054
3.6.4.8-RXN	GDQC-13134 // GDQC-12819 // GDQC-10781 // GDQC-9750 // GDQC-8729 // GDQC-7835 // GDQC-7659
RXN0-5055	
ACETYL-COA-CARBOXYLTRANSFER-RXN	GDQC-14600 // GDQC-13084 // GDQC-13060
RXN0-5209	GDQC-12258
ABC-23-RXN	GDQC-13843 // GDQC-10999
RXN0-5208	GDQC-12258
6PFRUCTPHOS-RXN	GDQC-14040 // GDQC-13997 // GDQC-13511 // GDQC-13480 // GDQC-13281 // GDQC-12134 // GDQC-11923 // GDQC-11919 // GDQC-11806 // GDQC-11645 // GDQC-11485 // GDQC-11403 // GDQC-11383 // GDQC-11336 // GDQC-10163 // GDQC-9701 // GDQC-9233 // GDQC-8959 // GDQC-8142
NICONUCADENYLYLTRAN-RXN	GDQC-9200
RXN-11832	GDQC-14915 // GDQC-14776 // GDQC-10036 // GDQC-8368
ABC-18-RXN	GDQC-11611
GLUCONOKIN-RXN	GDQC-12950
D-RIBULOKIN-RXN	
ABC-33-RXN	GDQC-9600
DEOXYADENYLATE-KINASE-RXN	GDQC-11486
RXN-7913	GDQC-14915 // GDQC-14776 // GDQC-8368
RXN-14228	
DTMPKI-RXN	GDQC-14975
ABC-9-RXN	GDQC-12473 // GDQC-8616
FADSYN-RXN	GDQC-14693 // GDQC-13107 // GDQC-12203 // GDQC-10723
3.6.3.6-RXN	GDQC-14578 // GDQC-14469 // GDQC-14290 // GDQC-14093 // GDQC-13633 // GDQC-13546 // GDQC-13414 // GDQC-13371 // GDQC-13310 // GDQC-12724 // GDQC-12720 // GDQC-12442 // GDQC-12382 // GDQC-12236 // GDQC-12212 // GDQC-12104 // GDQC-11460 // GDQC-10945 // GDQC-10944 // GDQC-10577 // GDQC-10360 // GDQC-9753 // GDQC-9751 // GDQC-9468 // GDQC-9467 // GDQC-9386 // GDQC-8692 // GDQC-7990 // GDQC-7783
ATPASE-RXN	GDQC-14658 // GDQC-14639 // GDQC-14573 // GDQC-14518 // GDQC-14412 // GDQC-14378 // GDQC-14328 // GDQC-14305 // GDQC-14145 // GDQC-13998 // GDQC-13913 // GDQC-13885 // GDQC-13575 // GDQC-13570 // GDQC-13540 // GDQC-13426 // GDQC-13259 // GDQC-13062 // GDQC-12770 // GDQC-12371 // GDQC-12275 // GDQC-12118 // GDQC-11623 // GDQC-11155 // GDQC-11046 // GDQC-10465 // GDQC-10210 // GDQC-10190 // GDQC-10147 // GDQC-9760 // GDQC-9416 // GDQC-9340 // GDQC-9285 // GDQC-9180 // GDQC-9140 // GDQC-8829 // GDQC-8794 // GDQC-8542 // GDQC-8530 // GDQC-8504 // GDQC-8375 // GDQC-8302 // GDQC-8286 // GDQC-8210 // GDQC-8207 // GDQC-7899 // GDQC-7873 // GDQC-7728 // GDQC-7720 // GDQC-7708
ATP-PYROPHOSPHATASE-RXN	GDQC-14599 // GDQC-13557 // GDQC-12815 // GDQC-12543 // GDQC-11794 // GDQC-10993 // GDQC-10933 // GDQC-10648 // GDQC-9599 // GDQC-9043 // GDQC-8881 // GDQC-8345
RXN-14120	
ABC-4-RXN	GDQC-13366 // GDQC-9011 // GDQC-8790
ABC-12-RXN	GDQC-12929 // GDQC-12697 // GDQC-11632 // GDQC-11144 // GDQC-11110 // GDQC-11109 // GDQC-10954
S-ADENMETSYN-RXN	GDQC-14756 // GDQC-14097 // GDQC-11102 // GDQC-10512 // GDQC-9315 // GDQC-8129
RXN-8344	
FGAMSYN-RXN	GDQC-13099 // GDQC-9643
NAD-KIN-RXN	GDQC-12750 // GDQC-11820 // GDQC-9847 // GDQC-9185 // GDQC-9060
NADH-KINASE-RXN	GDQC-11820 // GDQC-9847 // GDQC-9185
NAD-SYNTH-GLN-RXN	GDQC-14437
ABC-27-RXN	GDQC-11542 // GDQC-11415 // GDQC-11219 // GDQC-10649 // GDQC-9951 // GDQC-9341 // GDQC-8820 // GDQC-8033 // GDQC-7878
RXN1F-20	GDQC-114541 // GDQC-107317 // GDQC-5744 // GDQC-12668 // GDQC-10288 // GDQC-8927
ABC-25-RXN	GDQC-14622 // GDQC-13143 // GDQC-10382 // GDQC-9437
PYRIDOXKIN-RXN	GDQC-14100 // GDQC-13429
PYRAMKIN-RXN	GDQC-13429
PNKIN-RXN	GDQC-13429
RIBULOKIN-RXN	GDQC-13906
5-METHYLTHIORIBOSE-KINASE-RXN	GDQC-10314
ABC-7-RXN	GDQC-8870
RXN-12002	GDQC-14915 // GDQC-14776 // GDQC-11261 // GDQC-10782 // GDQC-10036 // GDQC-9002 // GDQC-8368
UMPKI-RXN	GDQC-8368 // GDQC-14776 // GDQC-14915
RXN-14325	GDQC-14610 // GDQC-14003 // GDQC-12841 // GDQC-12009 // GDQC-11108 // GDQC-9818 // GDQC-7651
CTPSYN-RXN	GDQC-7651 // GDQC-9818 // GDQC-11108 // GDQC-12009 // GDQC-12841 // GDQC-14003 // GDQC-14610
2.7.9.5-RXN	GDQC-14961
TRANS-RXN-243	GDQC-14739 // GDQC-14434 // GDQC-14064 // GDQC-12717 // GDQC-9069
RXN-15029	GDQC-14955 // GDQC-14780 // GDQC-10896 // GDQC-9987 // GDQC-8749
RXN-17356	
RXN-11939	
RXN-4209	
RXN-14240	GDQC-14446 // GDQC-14169 // GDQC-13507 // GDQC-13156 // GDQC-11371 // GDQC-11217 // GDQC-9164
RXN-14238	GDQC-7827
RXN-11760	GDQC-14286 // GDQC-13725 // GDQC-12962 // GDQC-12861 // GDQC-11512 // GDQC-11161 // GDQC-9992 // GDQC-9458
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN	
RXN-8088	GDQC-14254
RXN-6722	GDQC-14509 // GDQC-13638 // GDQC-10662 // GDQC-9825 // GDQC-9033
RXN-11660	GDQC-14476 // GDQC-14411 // GDQC-13893 // GDQC-8398
RXN-11265	GDQC-14666 // GDQC-13199 // GDQC-12931 // GDQC-11918 // GDQC-11646 // GDQC-10923 // GDQC-10871 // GDQC-10715 // GDQC-10041 // GDQC-7766
RXN-6762	
RXN-6724	GDQC-14666 // GDQC-14123 // GDQC-13199 // GDQC-12931 // GDQC-11918 // GDQC-11646 // GDQC-11245 // GDQC-10923 // GDQC-10871 // GDQC-10715 // GDQC-10041 // GDQC-9436 // GDQC-9276 // GDQC-7766
RXN-11272	
2.1.1.69-RXN	
PANTOATE-BETA-ALANINE-LIG-RXN	GDQC-14790
RXN-6461	GDQC-8203
RXN-8082	
RXN-15383	GDQC-12742 // GDQC-9226
RXN-15385	GDQC-12742 // GDQC-9226
RXN-13489	GDQC-14951 // GDQC-14021 // GDQC-13453 // GDQC-13230 // GDQC-13193 // GDQC-11787 // GDQC-11059 // GDQC-10396 // GDQC-9755 // GDQC-9734 // GDQC-9531 // GDQC-8081 // GDQC-7699
RXN-8083	
RXN-15980	GDQC-11572 // GDQC-10676
RXN-8026	GDQC-13980 // GDQC-13253 // GDQC-11915 // GDQC-11328 // GDQC-9726
FRUCTOKINASE-RXN	GDQC-14721 // GDQC-13952 // GDQC-13766 // GDQC-13563 // GDQC-13317 // GDQC-12707 // GDQC-10165 // GDQC-8507 // GDQC-8353
RXN-8631	
RXN0-5186	GDQC-8066
6-PHOSPHOFRUCTO-2-KINASE-RXN	GDQC-12866 // GDQC-10143 // GDQC-8864
2.7.1.90-RXN	GDQC-14875 // GDQC-14506 // GDQC-14252 // GDQC-13764 // GDQC-13484 // GDQC-12471 // GDQC-12408 // GDQC-12364 // GDQC-12176 // GDQC-11891 // GDQC-11360 // GDQC-10073 // GDQC-9922 // GDQC-9715 // GDQC-9134 // GDQC-8597 // GDQC-8537 // GDQC-8077
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	GDQC-10859
3.1.3.46-RXN	GDQC-12866
TRANS-RXN0-492	GDQC-11611
ALDOSE1EPIM-RXN	
GLUCOSE-OXIDASE-RXN	GDQC-12932
GLUCOSE-6-PHOSPHATASE-RXN	
RXN-5462	GDQC-12889
RXN0-5305	
RXN-15346	
RXN-8443	
RXN-14089	GDQC-14977 // GDQC-10800 // GDQC-7962
L-ARABINOKINASE-RXN	GDQC-14177 // GDQC-13975 // GDQC-12280 // GDQC-11013 // GDQC-10428
RXN-7401	GDQC-13276 // GDQC-8986
2.7.7.30-RXN	GDQC-13840
RXNQT-4142	GDQC-12387
RXN4FS-9	
RXN-9175	
2.7.7.1-RXN	GDQC-9200
RXN-5841	
NMNNUCLEOSID-RXN	
RXN-8444	
BADH-RXN	GDQC-13364 // GDQC-13241 // GDQC-13041 // GDQC-11507 // GDQC-10857 // GDQC-10793 // GDQC-10282
RXN-6268	
1.3.7.4-RXN	GDQC-106735
Binding-Reactions	
RXN-4703	GDQC-13951 // GDQC-11134 // GDQC-10807 // GDQC-8621 // GDQC-7671
BIOTINLIG-RXN	GDQC-14705
2.3.1.172-RXN	
RXN-8237	GDQC-11001 // GDQC-8650
RXN-10875	
RXN-11541	GDQC-14914 // GDQC-14838 // GDQC-14695 // GDQC-13886 // GDQC-13676 // GDQC-13610 // GDQC-13415 // GDQC-12391 // GDQC-12057 // GDQC-12033 // GDQC-11399 // GDQC-11377 // GDQC-11039 // GDQC-10446 // GDQC-10248 // GDQC-10184 // GDQC-10145 // GDQC-9628 // GDQC-9297 // GDQC-8660 // GDQC-7875 // GDQC-7863 // GDQC-7772
RXNQT-4397	GDQC-14632 // GDQC-13091 // GDQC-12713 // GDQC-11234 // GDQC-11201 // GDQC-10632 // GDQC-10509 // GDQC-9771 // GDQC-8723 // GDQC-7971
RXN-12293	GDQC-11193
ENZRXN-161-RXN	
RXN-161	
ENZRXN-201-RXN	GDQC-13151 // GDQC-8172
RXN-13939	
TRANS-RXN-194	GDQC-11072 // GDQC-8669 // GDQC-8352
3.6.3.8-RXN	GDQC-14901 // GDQC-14690 // GDQC-14516 // GDQC-14370 // GDQC-14089 // GDQC-13841 // GDQC-13568 // GDQC-13344 // GDQC-12831 // GDQC-12475 // GDQC-12334 // GDQC-12312 // GDQC-12089 // GDQC-12083 // GDQC-11895 // GDQC-11601 // GDQC-11580 // GDQC-11083 // GDQC-10027 // GDQC-9638 // GDQC-9564 // GDQC-9245 // GDQC-9144 // GDQC-9113 // GDQC-9077 // GDQC-9041 // GDQC-8998 // GDQC-8874 // GDQC-8845 // GDQC-8711 // GDQC-8669 // GDQC-8593 // GDQC-8525 // GDQC-8477 // GDQC-8404 // GDQC-8352 // GDQC-8185 // GDQC-7751 // GDQC-7683
RXN-7629	
RXN-711	GDQC-114720
RXN-4231	GDQC-14740 // GDQC-11841 // GDQC-11228
RXN-710	
RXN-713	
RXN-773	GDQC-14740 // GDQC-11841 // GDQC-11228
RXN-709	
RXN-4242	
RXN-4225	GDQC-14740 // GDQC-11841 // GDQC-11228
RXN0-5222	
RXN-14196	GDQC-14279 // GDQC-13445 // GDQC-12012 // GDQC-9788
RXN-17753	
RXN-18031	
CARBODEHYDRAT-RXN	GDQC-14609 // GDQC-14262 // GDQC-12070 // GDQC-11710 // GDQC-11066 // GDQC-10777 // GDQC-10524 // GDQC-9282 // GDQC-9257 // GDQC-9220 // GDQC-9114 // GDQC-8520 // GDQC-8502 // GDQC-113944 // GDQC-112543
RXN-11565	GDQC-7630
RXN-16910	GDQC-14279 // GDQC-13445 // GDQC-12012 // GDQC-9788
RXN-10828	GDQC-12630
RXN-10827	GDQC-12630
2.7.8.23-RXN	GDQC-12630
RXN-11566	GDQC-7630
RXN-13644	
RXN-13645	
RXN-10876	
RXN-11540	GDQC-14914 // GDQC-14838 // GDQC-14695 // GDQC-13886 // GDQC-13676 // GDQC-13610 // GDQC-13415 // GDQC-12391 // GDQC-12057 // GDQC-12033 // GDQC-11399 // GDQC-11377 // GDQC-11039 // GDQC-10446 // GDQC-10248 // GDQC-10184 // GDQC-10145 // GDQC-9628 // GDQC-9297 // GDQC-8660 // GDQC-7875 // GDQC-7863 // GDQC-7772
RXN-720	
RXNQT-4398	GDQC-14632 // GDQC-13091 // GDQC-12713 // GDQC-11234 // GDQC-11201 // GDQC-10632 // GDQC-10509 // GDQC-9771 // GDQC-8723 // GDQC-7971
RXN-716	GDQC-13427 // GDQC-13019
3.6.3.3-RXN	GDQC-13605
3.6.3.46-RXN	GDQC-14670 // GDQC-14131 // GDQC-13232 // GDQC-12602 // GDQC-12361 // GDQC-12291 // GDQC-11581 // GDQC-10763 // GDQC-10730 // GDQC-10542 // GDQC-10469 // GDQC-10418 // GDQC-9438 // GDQC-9290 // GDQC-8766 // GDQC-8742 // GDQC-8212 // GDQC-8115 // GDQC-8104 // GDQC-7826 // GDQC-7798 // GDQC-7729 // GDQC-7691
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	
CDPREDUCT-RXN	
CDPKIN-RXN	GDQC-10156 // GDQC-8819
RXN-12198	
RXNQT-4393	
RXNQT-4394	
RXN-9614	GDQC-14393 // GDQC-12002 // GDQC-11827 // GDQC-10606 // GDQC-8501
CDP-GLYCEROL-PYROPHOSPHATASE-RXN	GDQC-14393 // GDQC-8501
RXN4FS-4	
RXN4FS-1	
RXN-2043	GDQC-14990 // GDQC-14564 // GDQC-14442 // GDQC-14354 // GDQC-14022 // GDQC-13969 // GDQC-13943 // GDQC-13642 // GDQC-13555 // GDQC-13447 // GDQC-13313 // GDQC-13240 // GDQC-13089 // GDQC-12987 // GDQC-12648 // GDQC-11432 // GDQC-11243 // GDQC-11088 // GDQC-10990 // GDQC-10806 // GDQC-10401 // GDQC-10267 // GDQC-10252 // GDQC-10121 // GDQC-9746 // GDQC-9598 // GDQC-8293 // GDQC-8031 // GDQC-7997 // GDQC-7950 // GDQC-7840 // GDQC-7777 // GDQC-7669
RXN-15543	GDQC-13792 // GDQC-11519
RXN-15514	GDQC-13792 // GDQC-11519
Chemical-Reactions	
3.2.1.14-RXN	GDQC-14849 // GDQC-14777 // GDQC-14710 // GDQC-14663 // GDQC-14604 // GDQC-14359 // GDQC-14346 // GDQC-14227 // GDQC-14226 // GDQC-14010 // GDQC-13940 // GDQC-13398 // GDQC-13256 // GDQC-13100 // GDQC-13014 // GDQC-12643 // GDQC-12353 // GDQC-12297 // GDQC-12181 // GDQC-12021 // GDQC-12000 // GDQC-11966 // GDQC-11964 // GDQC-11961 // GDQC-11855 // GDQC-11620 // GDQC-11502 // GDQC-11244 // GDQC-11192 // GDQC-10940 // GDQC-10931 // GDQC-10527 // GDQC-10350 // GDQC-10216 // GDQC-9565 // GDQC-9481 // GDQC-9428 // GDQC-9186 // GDQC-9122 // GDQC-9037 // GDQC-8872 // GDQC-8319 // GDQC-8211
RXN-8378	
RXN-7738	GDQC-13673 // GDQC-10052
RXN-7678	GDQC-13719 // GDQC-10174
RXN-7739	
RXN-13398	GDQC-8323 // GDQC-10017 // GDQC-12359
RXN1F-10	GDQC-11741 // GDQC-9911 // GDQC-9067
RXN-7676	GDQC-12359 // GDQC-10017 // GDQC-8323
RXN1F-66	GDQC-14782
RXN-7674	
RXN-7875	GDQC-14740 // GDQC-11841 // GDQC-11228
RXN1F-357	GDQC-13604
CHD-RXN	GDQC-13604
CHOLINE-KINASE-RXN	GDQC-11569 // GDQC-11345
RXN-12582	GDQC-13604
ISOCHORSYN-RXN	GDQC-12015
CHORISMATEMUT-RXN	GDQC-107769 // GDQC-111496 // GDQC-12665 // GDQC-10833 // GDQC-10149 // GDQC-9362 // GDQC-9072
PABASYN-RXN	GDQC-8730
ANTHRANSYN-RXN	GDQC-14978 // GDQC-11016 // GDQC-10820 // GDQC-9957 // GDQC-9618 // GDQC-9430 // GDQC-9016 // GDQC-7976
RXN-14237	
CINNAMOYL-COA-REDUCTASE-RXN	GDQC-105652 // GDQC-14985 // GDQC-14042 // GDQC-13817 // GDQC-13441 // GDQC-13376 // GDQC-13011 // GDQC-12799 // GDQC-12768 // GDQC-12266 // GDQC-12141 // GDQC-12037 // GDQC-11990 // GDQC-11916 // GDQC-11469 // GDQC-11133 // GDQC-10862 // GDQC-10503 // GDQC-10456 // GDQC-9958 // GDQC-9902 // GDQC-9844 // GDQC-8787 // GDQC-8758 // GDQC-8120 // GDQC-7726
RXN-8089	
CINNAMYL-ALCOHOL-DEHYDROGENASE-RXN	GDQC-14644 // GDQC-14565 // GDQC-14027 // GDQC-12674 // GDQC-9198 // GDQC-8630 // GDQC-8255 // GDQC-7918 // GDQC-113233
RXN-15530	
2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN	GDQC-11925 // GDQC-10051
RXN-8003	GDQC-10628
ACONITATEHYDR-RXN	GDQC-13760 // GDQC-13569 // GDQC-12677 // GDQC-10863 // GDQC-10837 // GDQC-10255 // GDQC-9857 // GDQC-9785 // GDQC-9671 // GDQC-8195 // GDQC-7824 // GDQC-7681
RXN-8036	GDQC-14865 // GDQC-14828 // GDQC-14296 // GDQC-13361 // GDQC-8548
CARBOXYMETHYLENEBUTENOLIDASE-RXN	GDQC-11882 // GDQC-11418 // GDQC-10732 // GDQC-9921
RXN-4545	
RXN-4662	CKX1 // GDQC-110818 // GDQC-12064 // GDQC-8101
RXN-4541	
RXN-4542	
ACONITATEDEHYDR-RXN	GDQC-13760 // GDQC-13569 // GDQC-12677 // GDQC-10863 // GDQC-10837 // GDQC-10255 // GDQC-9857 // GDQC-9785 // GDQC-9671 // GDQC-8195 // GDQC-7824 // GDQC-7681
RXN-14047	GDQC-7681 // GDQC-7824 // GDQC-8195 // GDQC-9671 // GDQC-9785 // GDQC-9857 // GDQC-10255 // GDQC-10837 // GDQC-10863 // GDQC-12677 // GDQC-13569 // GDQC-13760
ATP-CITRATE-PRO-S--LYASE-RXN	GDQC-14792 // GDQC-14026 // GDQC-13991 // GDQC-13678 // GDQC-13595 // GDQC-13097 // GDQC-12991 // GDQC-12874 // GDQC-12592 // GDQC-12412 // GDQC-12360 // GDQC-12172 // GDQC-11840 // GDQC-11832 // GDQC-11697 // GDQC-11055 // GDQC-9511 // GDQC-9046
RXN-14026	
2.4.99.2-RXN	GDQC-8051
2.4.99.3-RXN	GDQC-11093 // GDQC-10419 // GDQC-10037 // GDQC-9796 // GDQC-9584 // GDQC-9129 // GDQC-8051
DETHIOBIOTIN-SYN-RXN	GDQC-14297 // GDQC-14167 // GDQC-11751 // GDQC-9350
RXN-8152	GDQC-11223 // GDQC-8905
RXN-10811	GDQC-14055 // GDQC-11296 // GDQC-9737 // GDQC-8175
Complex-Processes	
Composite-Reactions	
RXN-2602	GDQC-113233
RXN-1142	GDQC-14747 // GDQC-12933 // GDQC-12247
CONIFERIN-BETA-GLUCOSIDASE-RXN	
RXN-9245	GDQC-13169 // GDQC-8362
RXN-9246	GDQC-10667
RXN-9244	GDQC-12708 // GDQC-12548 // GDQC-10388 // GDQC-9674 // GDQC-8782 // GDQC-7959
HEMN-RXN	GDQC-9192
RXN0-1461	GDQC-112611 // GDQC-106314
RXN-12085	GDQC-14558 // GDQC-13282 // GDQC-11670 // GDQC-10193 // GDQC-9355 // GDQC-8643 // GDQC-8450 // GDQC-8156
RXN-8037	
RXN-12200	
RXN0-7080	
RXN-12959	
RXN0-5515	
CDPDIGLYSYN-RXN	GDQC-14250 // GDQC-13419 // GDQC-12484 // GDQC-11704 // GDQC-11348 // GDQC-11344 // GDQC-10760 // GDQC-9977 // GDQC-9586 // GDQC-9237 // GDQC-8948 // GDQC-8569 // GDQC-7785
RXNQT-4387	
RXNQT-4386	
RXN-12195	
RXN0-383	
RXN-14455	GDQC-14965 // GDQC-14841 // GDQC-14660 // GDQC-14031 // GDQC-11859 // GDQC-9151 // GDQC-9108 // GDQC-8699 // GDQC-8037
3.6.3.4-RXN	GDQC-14965 // GDQC-14841 // GDQC-13337 // GDQC-13071 // GDQC-12911 // GDQC-12549 // GDQC-12138 // GDQC-11955 // GDQC-11209 // GDQC-10728 // GDQC-9722 // GDQC-9305 // GDQC-9149 // GDQC-9108 // GDQC-8929 // GDQC-8699 // GDQC-8016
TRANS-RXN-178	GDQC-14841 // GDQC-13337 // GDQC-13071 // GDQC-12911 // GDQC-12549 // GDQC-12138 // GDQC-11955 // GDQC-9722 // GDQC-9149 // GDQC-9108 // GDQC-8929 // GDQC-8699 // GDQC-8016
RXN-12893	GDQC-7701
R524-RXN	GDQC-7701
RXN1F-775	GDQC-13059 // GDQC-9082
RXN-15372	GDQC-14381 // GDQC-11279 // GDQC-10962 // GDQC-10119 // GDQC-9758 // GDQC-8565
RXN-15330	GDQC-13955
RXN-15374	GDQC-14381 // GDQC-11279 // GDQC-10962 // GDQC-10119 // GDQC-9758 // GDQC-8565
RXN-15373	
RXN-8006	GDQC-14298 // GDQC-13904 // GDQC-13343 // GDQC-12941 // GDQC-11320 // GDQC-11273 // GDQC-10385 // GDQC-10377 // GDQC-10287 // GDQC-10213 // GDQC-9962 // GDQC-9047 // GDQC-8776 // GDQC-8571 // GDQC-8440 // GDQC-8401 // GDQC-8161
RXN-8169	
RXN-8342	GDQC-114728 // GDQC-14043 // GDQC-12069 // GDQC-9345
RXN-12872	
RXN-8482	
RXN-11946	
CYCLOEUCALENOL-CYCLOISOMERASE-RXN	GDQC-10986
RXN-11929	
R266-RXN	GDQC-13929
CYSTEAMINE-DIOXYGENASE-RXN	GDQC-14141 // GDQC-12974 // GDQC-11846 // GDQC-11347 // GDQC-11271 // GDQC-10012 // GDQC-9577 // GDQC-8860 // GDQC-8064 // GDQC-7938
CYTIKIN-RXN	
CYTIDEAM2-RXN	GDQC-10048 // GDQC-10047
TRANS-RXN-199	
KDO-8PSYNTH-RXN	GDQC-11079
1.1.3.37-RXN	GDQC-14727 // GDQC-14577 // GDQC-14450 // GDQC-13690 // GDQC-13117 // GDQC-12513 // GDQC-12425 // GDQC-12323 // GDQC-11541 // GDQC-11514 // GDQC-10712 // GDQC-9649 // GDQC-9609 // GDQC-9419 // GDQC-8887 // GDQC-8638 // GDQC-7923 // GDQC-7763
